,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,Bolondrón,22.7633,-81.4469,304.26,49,49,2.83,CU,1628074699
300,Udachny,66.4167,112.4,286.77,52,5,3.4,RU,1628105164
301,Kabanjahe,3.1001,98.4908,291.57,98,92,1.83,ID,1628119486
302,Faya,18.3851,42.4509,294.21,64,61,2.12,SA,1628045336
303,Bilibino,68.0546,166.4372,282.4,73,100,1.35,RU,1628090835
304,Bang Saphan,11.2126,99.5117,299.58,83,100,4.16,TH,1628118631
305,Beloha,-25.1667,45.05,290.65,77,0,5.19,MG,1628048129
306,Novy Urengoy,66.0833,76.6333,288.61,89,13,2.52,RU,1628114003
307,Na Wa,17.4897,104.1006,297.37,96,100,1.83,TH,1628117030
308,Thompson,55.7435,-97.8558,288.24,67,75,3.6,CA,1628073779
309,Vao,-22.6667,167.4833,293.92,74,72,6.71,NC,1628104903
310,Uyo,5.0333,7.9266,296.74,93,99,1.77,NG,1628054677
311,Benguela,-12.5763,13.4055,294.77,85,0,0.61,AO,1628054683
312,Achutupo,9.2,-77.9833,302.4,66,52,2.74,PA,1628074980
313,Várzea da Palma,-17.5981,-44.7308,300.57,26,32,3.6,BR,1628069027
314,Novichikha,52.204,81.3877,288.95,78,65,2.25,RU,1628118091
315,Fortuna,40.5982,-124.1573,295.33,73,1,1.34,US,1628083007
316,Sainte-Maxime,43.3,6.6333,295.17,73,85,5.99,FR,1628051203
317,Solnechnyy,50.7214,136.6319,284.91,98,100,1.43,RU,1628105137
318,Winslow,35.0242,-110.6974,307.57,19,1,0.45,US,1628080479
319,Esperance,-33.8667,121.9,280.06,86,0,3.2,AU,1628116892
320,College,64.8569,-147.8028,296.48,54,40,4.63,US,1628082160
321,Kissamos,35.4939,23.6569,304.97,38,0,1.12,GR,1628048162
322,Bo Phloi,14.3236,99.5161,301.1,81,89,2.12,TH,1628118386
323,Shakawe,-18.3667,21.85,289.25,31,0,2.61,BW,1628053115
324,Namatanai,-3.6667,152.4333,298.99,85,18,2.53,PG,1628107038
325,Kyshtovka,56.555,76.6271,286.71,95,100,2.95,RU,1628118134
326,Saint Anthony,45.0205,-93.218,303.66,40,1,0.89,US,1628074916
327,Derbent,42.0678,48.2899,301.17,41,28,2.53,RU,1628041382
328,Hay River,60.8156,-115.7999,287.14,62,75,3.09,CA,1628076414
329,Flic en Flac,-20.2742,57.3631,294.46,72,28,9.15,MU,1628044752
330,Monrovia,6.3005,-10.7969,300.02,80,77,4.09,LR,1628059075
331,Sistranda,63.7256,8.834,287.54,80,100,2.95,NO,1628045113
332,Margate,51.3813,1.3862,291.31,75,17,0.89,GB,1628050999
333,Hereford,52.0568,-2.7148,292.0,74,65,1.43,GB,1628051835
334,Piojó,10.7485,-75.1078,303.46,65,100,3.3,CO,1628074171
335,Ahmadpur East,29.1431,71.2598,310.18,36,0,3.57,PK,1628123864
336,Petropavlovsk-Kamchatskiy,53.0452,158.6483,279.48,87,0,3.0,RU,1628099335
337,Praia da Vitória,38.7333,-27.0667,300.29,65,40,5.47,PT,1628059940
338,Farafangana,-22.8167,47.8333,292.75,73,100,4.03,MG,1628047255
